Year,Activity,Sex,Age,Fatality,Time,Day,Month,Destination
2015,Surfing,M,52,N,Morning,Friday,July,"New South Wales, AUSTRALIA"
2015,Body boarding,M,32,N,Morning,Thursday,July,"New South Wales, AUSTRALIA"
2015,Swimming,M,68,N,Afternoon,Wednesday,July,"North Carolina, USA"
2015,Playing,M,12,N,Evening,Tuesday,June,"South Carolina, USA"
2015,Swimming,M,18,N,Afternoon,Saturday,June,"North Carolina, USA"
2015,Body boarding,M,19,N,Afternoon,Saturday,June,"Western Cape Province, SOUTH AFRICA"
2015,Surfing,M,23,N,Afternoon,Friday,June,"Western Cape Province, SOUTH AFRICA"
2015,Standing,M,43,N,Morning,Friday,June,"South Carolina, USA"
2015,Body surfing,M,47,N,Morning,Thursday,June,"North Carolina, USA"
2015,Swimming,M,6,N,Afternoon,Wednesday,June,"North Carolina, USA"
2015,Surfing,F,37,N,Morning,Wednesday,June,"Western Australia, AUSTRALIA"
2015,Swimming,M,10,N,Afternoon,Wednesday,June,"Florida, USA"
2015,Wading,M,16,N,Evening,Sunday,June,"North Carolina, USA"
2015,Wading,F,12,N,Afternoon,Sunday,June,"North Carolina, USA"
2015,Boogie boarding,F,13,N,Afternoon,Thursday,June,"North Carolina, USA"
2015,Playing,M,11,N,Morning,Sunday,June,"Florida, USA"
2015,Surfing,M,47,N,Afternoon,Monday,June,"Le Port, REUNION"
2015,Standing,F,14,N,Afternoon,Friday,May,"Florida, USA"
2015,Wading,F,19,N,Afternoon,Friday,May,"Florida, USA"
2015,Spearfishing,M,19,N,Morning,Monday,May,"Rangiroa, FRENCH POLYNESIA"
2015,Surfing,M,18,N,Morning,Wednesday,May,"Florida, USA"
2015,Scuba diving,M,29,N,Afternoon,Saturday,May,"Eastern Cape Province, SOUTH AFRICA"
2015,Snorkeling,F,65,Y,Morning,Wednesday,April,"Hawaii, USA"
2015,Wading,M,63,N,Afternoon,Sunday,April,"Florida, USA"
2015,Surfing,M,26,N,Morning,Saturday,April,"South Australia, AUSTRALIA"
2015,Surf skiing,M,71,N,Morning,Wednesday,June,"New South Wales, AUSTRALIA"
2015,Surfing,M,13,Y,Morning,Sunday,April,"Saint-Gilles, REUNION"
2015,Spearfishing,M,70,N,Afternoon,Friday,April,"Florida, USA"
2015,Snorkeling,M,58,N,Morning,Wednesday,March,"Hawaii, USA"
2015,Feeding,M,9,N,Morning,Monday,March,"Bora Bora, FRENCH POLYNESIA"
2015,Fishing,M,36,N,Morning,Tuesday,March,"Sinaloa, MEXICO"
2015,Swimming,F,22,Y,Evening,Saturday,February,"d’Étang-Salé, REUNION"
2015,Surfing,M,41,Y,Morning,Monday,February,"New South Wales, AUSTRALIA"
2015,Surfing,M,35,N,Morning,Sunday,February,"New South Wales, AUSTRALIA"
2015,Rowing,M,57,N,Midnight,Friday,January,"Queensland, AUSTRALIA"
2015,Fishing,M,20,N,Midnight,Tuesday,January,"Hawaii, USA"
2015,Floating,M,24,N,Afternoon,Friday,January,"Eastern Cape Province, SOUTH AFRICA"
2015,Snorkeling,F,34,N,Afternoon,Tuesday,January,"Abaco Islands, BAHAMAS"
2015,Surfing,M,15,N,Morning,Saturday,January,"Eastern Cape Province, SOUTH AFRICA"
2014,Spearfishing,M,17,Y,Morning,Monday,December,"Western Australia, AUSTRALIA"
2014,Surfing,M,50,N,Morning,Sunday,December,"California, USA"
2014,Fishing,M,40,N,Morning,Sunday,December,"Victoria, AUSTRALIA"
2014,Spearfishing,M,17,Y,Morning,Monday,December,"Queensland, AUSTRALIA"
2014,Surfing,M,13,N,Morning,Saturday,November,"Western Australia, AUSTRALIA"
2014,Surfing,M,44,N,Afternoon,Sunday,November,"Florida, USA"
2014,Snorkeling,M,53,N,Afternoon,Thursday,November,"Hawaii, USA"
2014,Surfing,M,18,N,Afternoon,Saturday,November,"Florida, USA"
2014,Surfing,F,34,N,Morning,Friday,October,"Hawaii, USA"
2014,Surfing,M,20,N,Evening,Wednesday,October,"New South Wales, AUSTRALIA"
2014,Surfing,F,13,N,Morning,Friday,October,"New South Wales, AUSTRALIA"
2014,Surfing,M,29,N,Morning,Sunday,October,"Florida, USA"
2014,Fishing,F,40,N,Afternoon,Tuesday,October,"Florida, USA"
2014,Surfing,M,15,N,Morning,Sunday,October,"Florida, USA"
2014,Surfing,M,28,N,Evening,Thursday,October,"California, USA"
2014,Surfing,M,23,N,Morning,Thursday,October,"Western Australia, AUSTRALIA"
2014,Swimming,M,50,Y,Morning,Tuesday,September,"New South Wales, AUSTRALIA"
2014,Fishing,M,43,N,Afternoon,Saturday,September,"Alabama, USA"
2014,Kayaking,F,20,N,Evening,Wednesday,September,"Massachusetts, USA"
2014,Fishing,M,52,N,Night,Tuesday,September,"Florida, USA"
2014,Body surfing,F,13,N,Afternoon,Sunday,August,"Florida, USA"
2014,Swimming,F,10,N,Afternoon,Saturday,August,"Florida, USA"
2014,Swimming,M,7,N,Afternoon,Friday,August,"Louisiana, USA"
2014,Boogie boarding,M,10,N,Afternoon,Wednesday,August,"South Carolina, USA"
2014,Boogie boarding,M,8,N,Afternoon,Saturday,August,"Florida, USA"
2014,Surfing,M,20,N,Afternoon,Friday,August,"Western Cape Province, SOUTH AFRICA"
2014,Surfing,M,51,N,Afternoon,Tuesday,July,"Saint-Leu, REUNION"
2014,Standing,M,8,N,Afternoon,Monday,July,"Florida, USA"
2014,Swimming,M,61,N,Evening,Wednesday,July,"Hawaii, USA"
2014,Swimming,M,39,N,Afternoon,Monday,July,"Florida, USA"
2014,Surfing,M,14,N,Afternoon,Wednesday,July,"Florida, USA"
2014,Body surfing,M,19,N,Evening,Thursday,July,"South Carolina, USA"
2014,Spearfishing,M,42,N,Afternoon,Wednesday,June,"Abaco Islands, BAHAMAS"
2014,Body boarding,M,15,N,Evening,Wednesday,June,"South Australia, AUSTRALIA"
2014,Standing,M,16,N,Evening,Monday,June,"Delaware, USA"
2014,Body boarding,M,39,N,Morning,Monday,June,"South Australia, AUSTRALIA"
2014,Surfing,M,43,N,Afternoon,Sunday,June,"Atsumi peninsula, JAPAN"
2014,Kneeling,F,14,N,Afternoon,Saturday,June,"Texas, USA"
2014,Swimming,F,22,N,Afternoon,Sunday,June,"Florida, USA"
2014,Body boarding,F,38,N,Morning,Thursday,May,"Florida, USA"
2014,Surfing,M,35,N,Morning,Wednesday,May,"South Australia, AUSTRALIA"
2014,Wading,F,44,N,Morning,Tuesday,May,"Florida, USA"
2014,Swimming,F,40,N,Afternoon,Tuesday,May,"South Carolina, USA"
2014,Surfing,M,23,N,Afternoon,Thursday,May,"Florida, USA"
2014,Swimming,M,42,N,Afternoon,Tuesday,April,"Florida, USA"
2014,Wading,M,25,N,Morning,Tuesday,April,"Florida, USA"
2014,Surfing,M,16,N,Afternoon,Friday,April,"Florida, USA"
2014,Surfing,M,16,N,Afternoon,Friday,April,"Florida, USA"
2014,Swimming,F,63,Y,Morning,Thursday,April,"New South Wales, AUSTRALIA"
2014,Swimming,M,66,Y,Afternoon,Saturday,March,"Eastern Cape Province, SOUTH AFRICA"
2014,Kite surfing,M,42,N,Evening,Tuesday,March,"Baie de Sainte-Marie, NEW CALEDONIA"
2014,Surfing,M,42,N,Morning,Tuesday,March,"Victoria, AUSTRALIA"
2014,Kite surfing,M,21,N,Afternoon,Thursday,February,"Society Islands, FRENCH POLYNESIA"
2014,Spearfishing,M,28,Y,Afternoon,Saturday,February,"South Australia, AUSTRALIA"
2014,Surfing,M,28,N,Night,Friday,February,"South Island, NEW ZEALAND"
2013,Snorkeling,M,37,N,Morning,Wednesday,December,"North Province, NEW CALEDONIA"
2013,Surfing,M,19,N,Morning,Monday,December,"Western Cape Province, SOUTH AFRICA"
2013,Boogie boarding,M,29,N,Morning,Wednesday,December,"Hawaii, USA"
2013,Surfing,M,30,N,Afternoon,Tuesday,December,"Florida, USA"
2013,Surfing,M,26,N,Evening,Thursday,December,"New South Wales, AUSTRALIA"
2013,Kayak fishing,M,57,Y,Morning,Monday,December,"Hawaii, USA"
2013,Body boarding,M,19,Y,Afternoon,Saturday,November,"New South Wales, AUSTRALIA"
2013,Snorkeling,F,58,N,Afternoon,Friday,November,"Hawaii, USA"
2013,Surfing,M,35,Y,Morning,Saturday,November,"Western Australia, AUSTRALIA"
2013,Surfing,M,25,N,Morning,Friday,November,"Oregon, USA"
2013,Body boarding,M,16,N,Afternoon,Thursday,November,"New Jersey, USA"
2013,Kite boarding,M,46,N,Afternoon,Thursday,October,"Hawaii, USA"
2013,Snorkeling,F,60,N,Afternoon,Monday,October,"Western Australia, AUSTRALIA"
2013,Body boarding,M,24,N,Afternoon,Saturday,October,"d’Étang-Salé, REUNION"
2013,Surfing,M,41,N,Evening,Thursday,October,"New South Wales, AUSTRALIA"
2013,Scuba diving,M,45,N,Afternoon,Wednesday,October,"Hawaii, USA"
2013,Surfing,M,25,N,Morning,Sunday,October,"Hawaii, USA"
2013,Wading,M,6,N,Afternoon,Saturday,October,"Florida, USA"
